Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	ACTIVE LOG	5/20/2006 1:34:55 PM 	01:56:53	4.80 mi	2.5 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N42 48.921 W70 47.499	5/20/2006 2:10:12 PM 	5 ft		60 ft	00:00:15	2.7 mph	301° true
Trackpoint	N42 48.913 W70 47.512	5/20/2006 2:10:27 PM 	5 ft		74 ft	00:00:15	3.4 mph	231° true
Trackpoint	N42 48.903 W70 47.529	5/20/2006 2:10:42 PM 	10 ft		98 ft	00:00:15	4.4 mph	230° true
Trackpoint	N42 48.893 W70 47.545	5/20/2006 2:10:57 PM 	10 ft		98 ft	00:00:15	4.4 mph	230° true
Trackpoint	N42 48.886 W70 47.554	5/20/2006 2:11:12 PM 	10 ft		56 ft	00:00:15	2.6 mph	226° true
Trackpoint	N42 48.880 W70 47.557	5/20/2006 2:11:27 PM 	10 ft		41 ft	00:00:15	1.9 mph	196° true
Trackpoint	N42 48.871 W70 47.563	5/20/2006 2:11:42 PM 	8 ft		62 ft	00:00:15	2.8 mph	208° true
Trackpoint	N42 48.867 W70 47.572	5/20/2006 2:11:57 PM 	7 ft		47 ft	00:00:15	2.1 mph	240° true
Trackpoint	N42 48.868 W70 47.579	5/20/2006 2:12:12 PM 	8 ft		30 ft	00:00:15	1.4 mph	285° true
Trackpoint	N42 48.876 W70 47.575	5/20/2006 2:12:27 PM 	10 ft		50 ft	00:00:15	2.3 mph	20° true
Trackpoint	N42 48.879 W70 47.570	5/20/2006 2:12:42 PM 	10 ft		28 ft	00:00:15	1.3 mph	56° true
Trackpoint	N42 48.877 W70 47.566	5/20/2006 2:12:57 PM 	13 ft		19 ft	00:00:15	0.86 mph	114° true
Trackpoint	N42 48.876 W70 47.562	5/20/2006 2:13:12 PM 	11 ft		19 ft	00:00:15	0.86 mph	114° true
Trackpoint	N42 48.875 W70 47.556	5/20/2006 2:13:27 PM 	11 ft		30 ft	00:00:15	1.4 mph	105° true
Trackpoint	N42 48.873 W70 47.549	5/20/2006 2:13:42 PM 	13 ft		30 ft	00:00:15	1.4 mph	105° true
Trackpoint	N42 48.873 W70 47.543	5/20/2006 2:13:57 PM 	13 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.872 W70 47.535	5/20/2006 2:14:12 PM 	15 ft		35 ft	00:00:15	1.6 mph	103° true
Trackpoint	N42 48.872 W70 47.527	5/20/2006 2:14:27 PM 	15 ft		34 ft	00:00:15	1.6 mph	90° true
Trackpoint	N42 48.871 W70 47.520	5/20/2006 2:14:42 PM 	13 ft		35 ft	00:00:15	1.6 mph	103° true
Trackpoint	N42 48.871 W70 47.511	5/20/2006 2:14:57 PM 	15 ft		40 ft	00:00:15	1.8 mph	90° true
Trackpoint	N42 48.871 W70 47.503	5/20/2006 2:15:12 PM 	15 ft		34 ft	00:00:15	1.6 mph	90° true
Trackpoint	N42 48.872 W70 47.495	5/20/2006 2:15:27 PM 	16 ft		35 ft	00:00:15	1.6 mph	77° true
